Clube,Ano,Faturamento(Milhões),Superavit/Deficit(Milhões)
Palmeiras,2021,947.6,123.4
Flamengo,2020,668.6,-106.9
Atlético Mineiro,2020,615.8,19.2
Palmeiras,2020,611.8,-151.0
Grêmio,2020,489.0,37.5
Corinthians,2020,474.3,-123.3
São Paulo,2020,358.4,-129.6
Athletico Paranaense,2020,324.8,134.4
Internacional,2020,281.2,-91.8
Santos,2020,239.8,-119.8
Vasco,2020,191.7,-64.4
Red Bull Bragantino,2020,159.6,13.4
Botafogo,2020,156.5,-139.0
Bahia,2020,130.6,-50.6
Cruzeiro,2020,123.0,-227.0
Ceará,2020,103.2,0.4
Coritiba,2020,101.8,-22.2
Goiás,2020,90.3,-3.1
Fortaleza,2020,86.1,-9.7
Sport,2020,54.5,-3.7
Atlético Goianiense,2020,51.2,2.7
Flamengo,2019,950.4,62.9
Palmeiras,2019,665.5,1.7
Grêmio,2019,497.0,22.2
Internacional,2019,441.3,-3.0
Corinthians,2019,425.7,-177.0
Santos,2019,399.8,23.5
São Paulo,2019,398.0,-159.1
Athletico Paranaense,2019,378.7,63.4
Atlético Mineiro,2019,342.7,-5.8
Cruzeiro,2019,280.8,-394.1
Fluminense,2019,265.2,-9.3
Vasco,2019,215.3,-5.0
Botafogo,2019,191.3,-20.8
Bahia,2019,189.5,3.9
Fortaleza,2019,120.4,3.4
Ceará,2019,98.0,5.7
Goiás,2019,99.3,2.8
Chapecoense,2019,79.9,-50.7
Vitória,2019,53.0,-29.3
Coritiba,2019,37.9,-12.6
Palmeiras,2018,688.6,30.7
Flamengo,2018,543.0,45.8
Corinthians,2018,466.9,-18.7
São Paulo,2018,424.5,7.2
Grêmio,2018,402.0,54.0
Cruzeiro,2018,386.8,-27.2
Fluminense,2018,297.3,-1.4
Internacional,2018,293.2,-9.5
Vasco,2018,260.9,64.9
Atlético Mineiro,2018,257.9,-21.8
Santos,2018,217.7,-77.3
Athletico Paranaense,2018,207.4,16.4
Botafogo,2018,182.9,-17.2
